State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn.
KS,88,415,398-8801,no,no,-1,189.8,111,32.3,196.4,102,17.1,,110,9.8,14.5,4,3.7,2,False.
MS,137,510,346-2347,no,no,-1,147.2,119,24.9,191.9,92,16.6,172.9,104,7.2,9.7,5,2.5,1,False.
NE,82,408,343-2741,no,no,-1,186,,31.5,275.7,134,23.7,192.2,103,8,5.2,8,1.5,4,False.
NJ,92,510,420-8242,no,yes,28,155.4,110,26.3,187.7,104,16.4,254.9,117,10.8,7.4,5,2,3,False.
WI,165,510,402-7746,no,,,,91,26.2,267.7,108,23.2,188.9,,7.8,10.3,4,2.8,6,False.
MT,96,415,332-1494,no,no,-1,97.7,98,16.6,104.9,119,9.3,220.3,104,9.1,10.9,9,2.8,1,False.
AR,156,415,388-6223,no,,-1,178.7,94,30.1,177.6,98,15.4,169.2,76,6.9,6.8,4,1.6,1,False.
WA,63,408,404-9539,no,no,-1,149.4,104,25.3,272.9,76,23.6,,,8.6,8.6,4,2.2,0,False.
NH,37,415,341-7332,no,no,-1,206,89,34.8,185.3,88,16.2,306.9,85,13.1,7.8,12,2,0,False.
IA,98,415,338-7886,no,no,-1,216.8,85,36.7,190.1,114,16.5,,78,7.8,10.5,10,2.7,0,False.
WV,121,415,332-5596,no,no,,103.5,110,17.5,128.4,83,11.2,167.1,112,6.9,,4,2.6,0,False.
RI,94,415,348-9945,no,no,-1,139.4,94,23.6,158.3,92,13.7,128.2,128,5.1,7.1,4,1.6,0,False.
KS,99,415,407-1896,yes,no,-1,191.2,110,32.4,163.1,102,14.2,243.6,114,10.4,13.5,3,3.5,1,False.
MT,163,510,398-9408,no,yes,,160.2,104,27.1,188.7,64,16.4,230.1,117,9.7,9.8,8,2.5,1,False.
MO,161,510,369-8005,no,no,-1,221.7,95,,192.3,82,16.7,194.4,112,8.1,5.9,4,1.4,3,False.
HI,99,415,346-2530,no,no,-1,63,81,10.6,230,64,20,169.1,120,6.8,7.8,6,1.9,1,False.
CO,108,415,400-5984,no,no,-1,215.6,78,36.5,194.6,119,16.8,194.4,64,8.2,3,5,0.7,1,False.
CT,84,510,351-1007,no,yes,41,165.3,97,28,222.9,118,19.4,261,72,,7,,1.8,3,False.
ID,83,415,345-5980,no,yes,31,94.7,111,16,153.5,99,13.5,200.6,108,8.5,9.9,7,2.6,2,False.
DC,139,510,368-8964,no,no,-1,,81,34.4,151.7,99,13.3,197.7,75,8.2,9.1,4,2.2,2,False.
TN,69,510,358-1912,no,no,-1,195.3,70,33,216,109,18.8,260.1,118,10.9,11.9,4,3.1,3,False.
WY,129,510,379-3132,no,no,-1,143.8,114,24.3,296.9,98,25.7,212.6,85,8.9,10.9,9,,4,False.
MO,106,415,340-9910,yes,no,-1,114.3,104,19.2,77.5,102,7,232.8,77,9.9,-0.6,1,-0.4,,False.
VA,158,415,396-2719,no,no,-1,222.8,101,37.9,202.2,128,17.5,210.8,105,8.8,6.2,3,1.7,2,False.
SD,168,415,369-6204,yes,yes,21,176,70,29.8,210.7,105,18.7,174.5,80,7.3,6.6,6,1.8,2,False.
WV,115,510,420-9971,no,no,-1,249.9,95,42.3,241.6,,20.9,151.8,120,6.2,14.8,7,3.9,1,True.
GA,57,408,410-3782,no,yes,29,234.8,,39.6,,117,,269,93,11.6,10.9,5,2.8,2,False.
AZ,67,415,404-4481,no,no,-1,210.8,116,35.8,218.4,86,19.1,179.8,82,,,7,1.8,,False.
AK,127,408,383-9255,no,no,-1,182.1,124,30.9,169.1,111,14.7,183.9,115,7.7,8.7,3,2.3,1,False.
AK,78,510,418-9385,no,no,-1,190.2,88,32.1,,89,16.8,256.6,108,10.8,11.2,6,3,2,False.
CT,100,415,360-9676,yes,yes,37,176.9,88,29.9,163.1,108,,242.7,71,10.2,6.7,3,1.7,0,False.
UT,103,510,327-3587,no,yes,,87.2,92,14.8,168.4,110,14.5,166.8,79,6.8,10.6,6,2.7,6,True.
KY,113,415,385-4715,no,no,-1,215.8,96,36.3,192.5,127,16.7,105.6,114,4.2,13,4,3.4,1,False.
MI,78,510,414-2695,no,no,-1,137.5,109,23.2,236.8,50,20.5,206.9,135,8.7,13.4,12,3.4,3,False.
OR,129,510,331-5999,no,yes,35,192.8,103,32.6,176.2,84,15.4,216.7,,9,15.9,5,4.3,1,False.
TN,57,510,337-7739,no,no,-1,149.5,99,25.4,199.3,110,17.2,231.6,100,9.7,11.2,4,2.9,2,
WV,82,408,388-6658,no,no,-1,143.6,116,24.3,170.1,99,14.9,287.6,94,12.6,7.3,6,1.7,1,False.
NJ,64,415,405-6943,no,no,-1,224.9,111,38.2,189,101,16.4,221.3,109,9.4,8.7,3,2.3,1,False.
MS,86,510,382-4084,no,yes,38,261.2,122,44.2,213.2,101,,154.9,,6.3,12.1,6,3.2,2,False.
ME,151,415,352-8249,no,yes,26,196.6,98,33.3,174.9,111,15.3,222,124,9.3,12.9,5,3.3,0,False.
WY,94,510,353-8363,no,no,-1,271.2,105,46,201.8,105,17.8,221.7,50,9.4,11.1,4,2.8,3,True.
WY,90,415,416-2825,yes,no,-1,207.1,121,35,291.9,104,25.1,226.3,102,9.4,7.5,2,2.1,2,False.
IN,48,510,342-6696,no,no,-1,300.3,94,50.9,132.4,104,11.5,197.3,93,8.3,6.5,6,,2,False.
NM,85,408,338-9210,no,yes,36,229.7,123,39,131.5,90,11.5,212.1,75,9,,8,2.4,2,False.
NJ,93,415,328-1768,no,yes,19,187.6,110,31.8,169.1,95,14.6,175.4,126,,11.6,5,3,1,False.
DC,169,415,406-5870,no,no,-1,,98,9.7,198.9,78,17.2,274.8,,11.9,5.9,6,1.2,3,False.
UT,68,415,398-3834,no,no,-1,162.1,86,27.5,154.2,86,13.5,189.7,86,7.9,10.4,10,2.8,5,True.
KY,91,415,330-7754,no,no,-1,144.9,89,24.5,174.9,103,15.2,,150,9.4,16.1,3,4.4,2,True.
KS,68,510,414-9054,,,-1,159.5,123,26.7,240,93,,210.3,75,8.6,10.8,3,2.6,1,False.
MI,101,510,350-2832,no,no,-1,190.7,72,,207.9,,,203.9,110,8.7,8.3,8,2.1,1,False.
UT,67,510,414-9027,no,yes,19,230.8,40,38.9,188.3,,16.2,162.3,114,6.6,8.8,3,2.2,1,False.
NE,66,415,337-1225,no,no,-1,34,133,5.5,277.8,62,24.2,129.5,119,5.2,10.8,,3,0,False.
FL,116,415,394-6577,yes,yes,16,193.4,112,32.8,239.7,132,20.7,248.2,97,10.3,10.7,4,3,5,False.
LA,158,408,359-6995,no,no,-1,202.1,126,34.3,162.7,87,14.3,195.6,83,8.1,9.9,,2.3,1,False.
MT,78,415,377-7561,no,no,-1,191.7,122,32.4,240.6,88,20.8,203.8,86,8.5,8.5,5,2.4,,False.
WA,119,415,380-6631,no,yes,25,161.3,97,27.4,249.4,111,21.4,142.3,91,5.9,6,9,1.5,1,False.
MI,120,415,390-8876,no,no,-1,150.5,,25.6,118.3,,10.3,233,123,9.8,,3,1.3,1,False.
KY,155,510,413-2201,no,no,-1,184.7,102,31.5,195.2,117,17,226.5,121,9.5,,2,1.8,1,False.
LA,106,408,374-2073,no,no,-1,220.7,120,37.5,269.5,95,,121.8,112,4.8,8.1,5,2.1,1,False.
NM,87,510,417-1272,no,no,-1,167.2,119,28.4,197.8,119,17.3,133,88,5.4,10.3,6,2.6,1,False.
AL,146,415,358-1129,no,,31,154,80,26.1,184.6,91,15.9,148.3,106,5.8,7.6,5,2,3,False.
MO,101,415,394-1211,yes,yes,28,121,116,20.4,185.6,101,16.2,241.6,74,10.2,9.4,7,2.4,0,False.
CO,22,510,327-1319,no,yes,22,182.1,94,,163.7,60,14.2,128.9,101,5.2,12.2,5,3,3,False.
TX,90,415,399-4413,no,no,-1,109.8,88,18.6,,108,11.8,159.9,120,6.6,10.2,6,2.9,2,False.
NY,41,415,393-9985,no,no,-1,209.9,105,35.6,121.1,105,10.6,,103,10.8,8.9,5,2.3,1,False.
OR,69,415,401-8377,no,no,-1,167.5,76,28.4,241.5,92,20.9,101,102,4,10.8,4,2.9,2,False.
WY,33,415,331-3202,no,no,-1,213.9,88,36.3,239.1,119,20.6,148.9,70,6,9.3,14,2.4,2,False.
UT,112,415,358-5953,no,no,-1,116,108,19.6,242.4,,21,184.5,77,7.7,12.3,6,3.3,1,False.
LA,108,510,380-7624,no,yes,29,276.6,99,46.9,219.2,113,19.2,177.8,94,7.4,9.2,7,2.3,,False.
NV,136,415,416-5261,no,yes,20,179.3,88,30.3,180.5,97,15.9,320.8,,13.9,8.9,5,2.4,2,False.
NC,128,510,417-5067,no,no,-1,187.6,84,31.9,270,95,23.2,206.5,67,,9.6,5,2.5,1,False.
NC,27,408,345-6515,no,no,-1,201.3,127,34.1,,100,19.7,145.9,90,6,7.9,4,2.1,2,False.
WY,161,415,406-1349,no,no,-1,189.4,78,32,266.5,118,23,184.4,136,,0.6,,0.1,1,False.
TN,33,415,360-9038,no,yes,34,186.9,124,31.6,260,,22.3,317.7,103,13.7,14.3,5,3.6,0,False.
FL,120,415,348-3444,no,yes,30,153.6,83,26,218.3,96,18.8,237.5,75,10,10.7,5,2.8,0,False.
CA,113,415,370-2892,no,no,-1,187.6,97,31.9,207.4,119,18,159.1,,6.4,7.9,7,2,2,False.
PA,122,415,383-4061,yes,no,-1,231,132,39.1,242.5,100,21.1,182.6,57,7.6,10.3,3,2.9,-1,True.
WV,148,415,391-7937,no,yes,25,244.9,150,41.4,117.1,,10.2,236.1,90,10.1,14.8,5,4.1,2,False.
NJ,74,415,389-4083,no,no,-1,230.9,93,39,222.1,78,19.2,157.8,100,6.6,9.3,,2.3,3,False.
MT,106,415,410-9633,no,no,-1,187,104,31.5,249.4,118,,144.8,,5.7,10.3,4,2.7,1,False.
MN,179,415,418-9502,no,no,-1,170.7,54,29,190.4,109,16.3,214.6,106,9.2,12.7,4,3.3,1,False.
WI,149,415,339-6637,no,yes,27,126.7,97,21.5,166.2,102,14.5,145.2,76,5.9,8.3,4,2.1,5,True.
ID,77,510,356-3403,no,no,-1,189.7,112,32,206,96,18,214.3,90,8.8,8.5,8,2.2,0,False.
MA,127,408,371-9457,no,no,-1,176.9,109,30.2,167.1,101,14.6,182.3,137,7.4,7.3,3,1.9,1,True.
OR,80,415,391-8087,no,no,-1,,99,27.3,198,81,17.2,228.4,115,9.6,10.1,5,2.6,1,False.
MT,106,510,392-6420,yes,no,-1,169.4,107,28.5,196.5,71,17,202.2,78,8.4,10.1,5,2.8,1,False.
AL,61,415,399-4094,no,yes,19,254.6,133,43.1,,97,14,251.5,90,10.9,9.9,5,2.7,0,False.
ND,135,510,378-4013,no,yes,23,127.8,54,21.7,214.2,106,18.7,234.4,83,10,5.3,5,1.2,2,False.
LA,115,415,386-6306,yes,,25,170.4,107,28.8,216.5,77,18.8,225.9,70,9.5,13,5,3.4,6,False.
ND,167,408,359-3618,no,no,,219.1,100,37.1,242.1,91,21,168.9,100,7.1,9.3,5,2.4,2,False.
MS,107,510,340-8875,yes,no,-1,273.6,,46.5,183,69,15.9,153.7,66,6.5,10.4,10,2.6,2,
WV,112,415,330-2693,yes,no,-1,161.9,138,27.4,200.1,115,17.5,,133,5.4,10.2,5,2.7,1,False.
WI,35,510,403-7627,no,yes,26,241.8,87,41.1,141.2,102,12.3,288.9,67,12.2,8.8,4,2.3,1,False.
KS,103,408,342-3678,no,no,-1,62.8,124,10.6,169.5,67,14.9,280.2,77,12.1,8.9,5,2.2,3,False.
MO,107,415,344-9943,no,yes,21,281.1,83,47.5,142.9,130,12.4,239.3,127,10.2,10.6,10,2.6,1,False.
PA,69,415,390-5686,no,no,-1,228.3,70,38.7,,81,22.7,142.9,59,5.8,10.2,6,2.7,,False.
SD,85,408,358-5826,no,no,-1,209.8,82,35.6,193.8,95,16.9,200.6,84,8.3,10.7,4,2.7,0,False.
NJ,24,408,393-7826,no,no,-1,265.5,,45.1,208,102,18.1,182.5,104,7.6,10.6,6,2.8,2,True.
AL,90,415,335-9786,no,no,,215.2,97,36.5,117,118,10.3,133.8,77,5.3,11.2,3,2.9,2,False.
ME,137,510,368-9860,no,no,-1,110.5,79,18.6,222.2,111,19.3,169.6,63,7,10,4,2.7,3,False.
AZ,92,415,416-9522,no,yes,44,281.2,88,47.8,197.3,103,17.1,,75,3.4,6.8,4,1.8,0,False.
VT,38,415,416-7307,no,no,-1,138,86,23.4,,77,24.6,167.1,76,6.8,13.6,,3.6,2,False.
NV,69,510,397-6789,no,yes,32,271.6,98,46.1,252.5,103,21.9,165.4,84,6.9,7.7,,2,,True.
WI,45,408,335-9501,no,no,-1,112.8,108,19.2,218,121,,,105,9.9,8.5,4,2,2,False.
HI,73,408,388-1250,no,no,-1,187.3,118,31.8,238.9,90,20.6,167.6,,6.9,14.5,3,3.7,1,False.
DE,92,415,386-1374,no,no,-1,197.2,84,33.5,268.6,105,23.2,159,104,6.5,10.2,5,2.7,1,False.
AZ,113,415,346-8112,no,yes,31,180.5,89,30.3,128.7,125,11.3,166.9,123,6.7,7.7,3,2,1,False.
VA,68,408,364-9040,no,no,-1,148.5,126,24.9,218.7,,,198.6,120,8.3,14,8,3.5,1,True.
GA,135,415,366-3944,no,yes,21,197.2,113,33.4,258.6,96,22.4,134.8,134,5.4,,6,3.7,2,False.
AZ,100,415,331-9861,no,,25,153.7,114,26.1,136.7,146,12,213.3,103,8.9,15,6,4.1,1,False.
MN,96,415,330-2881,no,yes,26,261.4,96,,220.1,102,19.2,179.4,96,7.4,10.7,2,2.8,1,
ME,108,510,402-9558,,no,-1,,102,41.8,201.7,135,17.4,180.1,95,7.3,8.7,6,2.3,1,False.
FL,84,510,341-3180,no,no,-1,191,88,32.4,317.8,119,27.5,247.3,78,10.6,,4,1.4,0,False.
WA,134,408,371-8598,no,no,-1,208.3,86,35.3,252.8,89,21.8,290.9,85,12.4,12.1,3,3.1,1,False.
MT,72,415,398-8385,no,no,-1,253,73,42.8,218.3,78,19,210.7,88,8.7,9,5,2.4,0,False.
AL,83,408,333-4154,yes,no,-1,202.2,87,34.1,200.8,112,17.3,101.8,82,3.9,6.3,5,1.6,0,False.
WV,137,408,330-3589,no,no,-1,174.4,120,29.5,155.4,98,13.6,136.7,120,5.6,9.5,5,2.3,0,False.
GA,56,415,417-1477,no,,29,127.1,89,,171.5,116,15,194.6,110,7.9,11.5,3,2.9,1,False.
OH,61,510,327-5525,no,yes,15,143.6,76,24.3,241.9,58,20.9,147.8,94,6,10.9,3,2.7,0,False.
DE,171,510,363-8244,no,yes,16,187,94,31.5,239.2,138,20.6,200.9,63,8.5,5.2,4,1.3,1,False.
NE,123,510,419-9104,no,no,-1,,118,32.9,241.2,114,20.9,146.5,107,5.8,,5,3,1,False.
FL,58,510,363-1560,yes,no,-1,234.9,89,39.8,106.1,132,9.5,178.6,121,7.3,9.3,6,2.4,0,False.
AK,156,510,341-4075,no,no,-1,123.7,96,,102.3,80,8.9,189.4,,8,12.5,4,3.2,1,False.
WI,166,510,366-9074,no,no,,173.8,103,29.5,275.6,84,23.8,191.1,112,7.9,14.7,5,3.8,0,False.
WA,75,510,367-1424,no,yes,40,131,114,22,202.5,111,17.6,171.7,67,7.2,11.7,4,3,1,
KY,75,415,341-1191,no,no,-1,314.6,102,53.4,169.1,86,14.6,285.2,99,12.1,5.1,4,,2,True.
OH,83,510,342-9480,no,no,,227.7,78,38.6,206.6,,18.1,211.8,99,8.8,11.6,6,3.1,1,False.
UT,243,510,355-9360,no,no,-1,,92,16.2,162.7,64,14.3,264.2,117,11.4,6.1,7,1.6,,False.
NM,153,408,343-1538,no,no,-1,185.1,127,31.3,207.2,74,18,206,123,8.6,14.5,4,3.8,1,False.
MN,150,415,335-2331,no,no,-1,146.2,133,24.7,201.9,95,17.6,234.8,,10,12.7,4,,1,False.
WV,92,510,335-7257,,yes,15,184,99,31.2,75.6,135,6.7,185.2,95,7.5,12.2,4,3.3,2,
MN,80,415,332-2137,no,no,-1,105.8,110,17.9,43.1,89,4,189.6,86,7.9,12.5,6,3,0,False.
AL,134,415,352-2998,no,no,-1,178,110,30.3,152.9,64,13.2,236.7,104,9.9,11,5,2.9,,False.
PA,77,510,346-6941,yes,yes,23,149.4,74,25.4,123.1,72,10.8,174.4,83,7.2,9.4,,2.5,1,False.
DE,147,510,400-2203,no,no,-1,209.3,104,35.4,,79,11.6,149.4,123,5.9,,4,2.8,2,False.
MO,74,415,421-2955,no,no,-1,172.2,105,29.2,210.7,99,18.3,182.4,105,7.6,11,7,,1,False.
IL,138,510,331-6629,no,no,-1,169.2,82,28.6,217.1,148,18.8,184.2,76,7.5,9,10,2.3,1,False.
FL,143,415,343-6314,yes,no,-1,119.2,117,20.2,286.9,137,24.8,223.1,99,,11.5,5,3,0,False.
HI,64,415,414-6638,no,,-1,194.3,147,33,172.5,88,15.1,268.9,113,11.5,,3,1.3,2,False.
ME,120,510,350-5883,no,no,-1,198.8,56,33.7,229.3,73,19.8,119.9,80,4.8,9.2,3,2.4,2,
CO,121,408,409-4447,no,,-1,167.6,94,28.4,92.9,121,8.4,241.3,114,10.3,12.8,2,,3,True.
NH,88,415,376-4856,no,no,-1,202.2,86,34.4,216,94,18.7,239.6,98,10.2,11.3,2,3.1,2,False.
SC,87,408,335-1874,yes,no,-1,322.7,106,54.9,203.7,94,17.7,186.3,127,7.7,8.6,5,2.2,2,True.
IN,100,510,397-6255,no,no,-1,216.2,107,36.4,214.8,84,18.6,138.5,126,5.4,9.7,4,2.3,0,False.
FL,104,415,381-5047,no,no,-1,76.3,116,12.9,114.9,74,10.1,226.5,93,9.4,8.8,4,2.2,3,False.
GA,27,510,403-6850,no,no,-1,72.8,75,12.2,207.9,117,17.8,66.1,70,2.3,9.3,4,2.4,1,False.
IL,81,415,375-3658,yes,yes,30,210.4,,35.5,224.6,97,19.4,168.8,119,,9.1,4,2.4,0,False.
NC,64,510,341-2603,no,yes,32,127.3,93,21.7,162.1,105,14.1,247.5,108,10.5,7.5,14,1.8,0,False.
VT,107,510,342-5062,no,yes,27,201.6,79,34.1,304,128,26.2,225.6,132,9.7,11.4,9,3,1,False.
DC,88,415,354-1558,no,yes,,219.6,78,37.3,221.3,94,19.2,188.4,,7.8,15.5,5,4,1,False.
VT,111,408,351-9537,no,no,-1,99.5,112,16.7,269.7,136,23.2,225.5,93,9.3,8.4,,2.2,3,False.
NV,77,415,401-1252,no,no,-1,239.3,114,40.4,149.2,115,13,160.9,80,6.6,9.8,3,2.7,5,False.
OR,67,415,366-9538,no,no,-1,121,58,20.5,233.9,88,20.2,95.3,129,3.6,,11,2.7,2,
AL,102,408,364-7622,no,no,-1,224.6,81,,128.7,113,11.3,,,7.1,15.1,7,4,1,False.
ND,146,408,393-9918,yes,yes,18,176.5,88,30.1,161.8,67,14.2,215.7,97,9.1,14.1,7,3.6,1,False.
FL,144,415,376-4484,no,yes,50,283.9,98,48.2,191.1,110,16.5,196.4,84,8.1,9.6,4,,1,False.
NE,96,415,410-6791,no,no,-1,180.7,92,30.5,190,115,16.6,295.6,124,12.5,9.7,5,2.6,1,True.
ND,70,415,343-2392,no,yes,30,125.9,101,21.3,195.7,103,17,,74,10.6,9.7,5,2.6,1,False.
ME,149,408,408-4323,,no,-1,,79,40.2,191.7,107,16.6,207.4,110,8.7,8.5,10,2.3,0,False.
IL,129,415,395-1718,no,no,-1,198.5,91,33.7,263.9,106,22.7,111.4,100,4.3,8.5,,2.4,2,False.
WA,166,408,354-9492,no,,-1,274.3,109,46.4,52.1,109,4.8,246.2,118,10.4,10.3,5,2.7,0,False.
MA,136,408,367-8168,no,no,-1,199.7,89,33.7,210.5,96,18.3,72.4,83,2.5,10.3,5,2.8,3,True.
KS,149,510,340-3500,no,no,-1,217.7,91,36.9,272.8,74,23.7,227,98,9.5,9.1,,2.4,3,False.
RI,70,415,369-4962,no,no,-1,134.7,96,23,,91,20.4,260.2,112,10.9,7,7,1.7,3,False.
MO,120,415,334-8967,no,yes,23,212.8,73,36,256.8,103,22.3,227.9,118,9.6,8.9,14,2.3,2,False.
IA,66,510,402-2377,,no,-1,256.3,135,43.4,179.4,107,15.7,187.3,134,7.8,5.6,8,1.3,2,False.
WY,104,408,366-3917,no,no,-1,183.5,133,31.1,120,99,10.6,215,112,9,12,,3.1,1,False.
NV,160,415,333-3531,no,no,-1,176.1,90,29.8,195.1,115,17,263.9,94,11.3,8.6,5,2.3,1,False.
WI,129,415,333-8954,no,yes,36,205,94,34.7,164.6,103,14.4,185.2,80,7.7,11.1,8,2.9,1,False.
AL,93,408,374-9203,yes,no,-1,267.9,114,45.5,222.3,74,19.3,262.8,89,11.1,10.8,4,2.9,3,True.
HI,169,415,334-3289,no,no,-1,179.3,111,30.3,174.5,130,15.1,228.7,91,9.6,9.4,7,2.4,,False.
MO,58,415,353-7822,no,no,-1,149.5,145,25.1,195.9,105,17.2,209.7,107,8.6,14.4,4,3.5,1,False.
CA,75,510,350-1422,no,yes,37,163.6,,27.7,145.8,113,12.8,345.9,114,14.9,12.6,4,3.2,3,False.
MO,45,408,385-8406,yes,no,-1,207.6,71,35.2,152,,,218,124,9.2,11.9,14,3.3,1,False.
CT,155,510,380-7277,no,no,-1,165.6,,27.9,,104,15.8,80.2,107,2.9,8.3,4,1.9,3,False.
MD,52,415,352-1798,no,no,-1,209.9,114,35.6,170.3,82,14.9,154.7,118,6.3,9.2,10,2.3,4,False.
OH,119,415,385-7922,no,yes,26,220.2,128,37.4,267.4,133,23.2,146.7,79,6,10.5,4,2.7,0,False.
NV,86,510,353-7730,no,no,-1,141.2,,23.9,153.7,96,13.5,210.6,90,8.9,7.5,6,2,1,False.
MD,42,408,337-7163,no,no,-1,196.5,89,33.2,240.6,124,20.8,143.3,104,5.8,3.4,,1,0,False.
NE,127,510,348-5567,no,no,-1,180.8,114,30.8,,119,18.1,250.1,104,10.7,6.9,,1.8,2,False.
OH,123,408,420-9575,no,no,-1,105.1,150,17.9,250.8,91,,258.1,92,11,14.4,6,3.7,0,False.
MA,98,510,366-3358,no,no,-1,271.4,119,46.1,189.5,,16.6,284.6,117,12.1,10.4,7,2.7,4,True.
OK,149,510,359-9972,no,yes,,,79,35,173.8,123,15,241.6,79,10.5,10.3,4,2.6,1,False.
MA,160,408,387-3332,no,no,-1,166.9,109,28.4,235.3,117,20.4,307.7,77,13.1,8.8,2,2.3,1,False.
WA,103,415,354-6960,no,no,-1,205,107,34.8,134.4,103,12,208.1,106,8.8,9.8,4,2.4,5,False.
HI,132,415,405-3335,no,,14,154.6,128,26.3,244.8,106,21.3,148.7,89,6.1,8.5,5,2.1,1,False.
CO,137,415,379-4257,no,,-1,127,107,21.5,322.3,75,27.7,144,126,6,6.8,2,1.9,1,False.
FL,129,415,355-4992,no,no,-1,267.4,78,45.3,203.3,86,17.7,111.9,145,4.3,5.3,5,1.4,1,False.
WI,62,415,383-6373,no,no,-1,281.2,66,47.5,159.7,108,14,77.9,,2.9,-0.6,1,,1,False.
ID,122,510,382-7993,no,yes,32,270.7,96,46.1,219.5,111,18.9,170,103,7.1,11.1,8,,4,False.
WY,32,408,422-5865,no,no,-1,171,82,29.1,185,102,16,203.2,63,8.6,9.7,7,2.4,1,False.
GA,86,510,410-9961,no,no,-1,124.2,82,20.9,201.8,120,17.2,289.8,118,12.4,6.2,9,1.4,3,False.
FL,130,415,343-9946,no,no,-1,,113,27.6,289.3,111,25.1,114.9,139,4.6,6.6,4,1.5,1,False.
WY,42,408,357-7060,no,,-1,146.2,84,24.8,255.1,114,22.1,45.1,116,1.3,7.3,12,1.9,1,False.
DE,73,415,355-9541,no,no,-1,255,85,43.3,142.6,80,12.5,153.9,101,6.2,14.5,,3.7,2,False.
ME,66,408,378-4145,no,yes,25,254.9,108,43.3,242.6,136,20.9,190.9,94,7.9,4.8,4,1.2,2,False.
DC,103,510,386-2317,yes,yes,30,107.8,,18.2,188,104,16.2,196.3,97,8.1,8.3,4,2.1,0,False.
IA,128,408,335-8146,no,no,-1,158.9,75,26.9,264.1,91,22.7,270,76,11.4,7.2,8,1.7,1,False.
CO,104,415,377-2235,no,no,-1,182.8,,31,238.8,86,20.6,229.6,103,9.7,5,5,1.1,1,False.
MN,103,415,386-9141,no,no,-1,198.6,112,33.6,41.7,90,4,179.2,123,,11.8,6,3.2,0,False.
VT,124,415,416-5623,yes,no,0,178.2,72,30.4,232.9,135,19.9,179.5,90,7.3,11.4,3,3,0,False.
AZ,87,510,327-3053,no,no,-1,110.9,91,18.7,157.5,115,13.8,207.4,130,8.8,5.5,5,1.3,1,False.
LA,109,415,395-6195,no,yes,26,,85,28.3,220.4,,19.1,197.3,97,8.4,,5,3,1,True.
MO,167,415,397-8772,no,no,-1,244.7,91,41.5,60,106,5.6,176.7,109,7.4,10.3,4,2.5,2,False.
ME,97,510,346-7656,no,no,,120.8,96,20.3,169,102,14.6,194.3,62,8.2,11.3,4,3.1,4,True.
MD,106,415,343-2350,no,no,-1,165.4,118,28.1,209.1,101,18,187.1,92,7.8,7.8,3,2.2,2,False.
VT,125,415,372-4722,no,no,-1,126.6,113,21.3,154.7,132,13.8,206.2,111,8.5,13.7,8,3.8,,False.
DC,108,408,399-8615,no,yes,34,216,106,36.6,199.9,107,17.4,195.4,106,8.2,,7,3.7,0,False.
WY,125,415,379-8248,no,no,-1,140,132,23.6,208.8,126,18,264.3,76,11.3,7.5,2,1.8,1,False.
VA,89,415,414-6219,no,yes,31,210,113,35.6,249.1,,21.6,,91,9.2,8.2,8,2.1,1,False.
VA,72,510,387-1343,no,yes,28,139.9,114,23.8,137.4,91,11.9,221.2,87,9.2,4.9,7,1.4,0,False.
CT,23,510,370-5527,,no,-1,321.7,107,54.6,250.9,115,21.7,141.1,157,5.6,10.8,4,2.7,2,True.
HI,149,510,393-8736,,no,-1,166.7,60,28.1,218.2,108,19.1,,130,8.6,7.7,6,1.9,7,False.
WI,73,415,402-7626,no,no,-1,214.4,90,,195.8,78,,158,111,6.4,5.3,9,1.2,0,False.
MD,61,415,370-2688,no,no,-1,260.1,123,44.1,209.6,128,18.2,234.8,69,10.1,8.4,4,2,1,True.
WV,161,415,418-9036,no,no,-1,,113,32.4,70.1,87,6.3,204.9,106,8.6,12.9,5,3.3,4,True.
VT,73,408,417-2035,no,no,-1,213.1,95,36,188.2,104,16.2,136.3,88,5.5,13,4,3.3,0,False.
UT,118,415,355-3602,no,yes,23,118.1,83,19.9,108.9,72,9.5,245.7,72,10.4,16.3,3,4.4,1,False.
CO,23,408,393-4027,no,no,-1,190.3,89,32.3,165.6,108,14.4,220,72,9.4,14.2,4,3.8,6,False.
NC,127,415,418-5141,yes,,24,82.3,94,14.1,162.5,110,14.2,265,103,11.2,4.6,6,1.1,0,False.
NJ,42,415,406-1247,no,yes,31,163.7,80,27.8,176.9,123,15.4,190.4,105,7.8,7.5,6,2.1,0,False.
AR,118,415,402-3892,no,no,-1,267.7,145,45.4,315.6,122,27.1,208.7,90,8.8,13.7,12,3.7,5,True.
IA,45,510,332-2965,no,no,-1,159.7,91,,119.4,87,10.5,162.9,92,6.6,10.1,4,2.5,2,False.
GA,50,408,377-1218,no,yes,23,214.6,129,36.4,289,56,24.7,312.5,129,13.2,10.1,5,2.7,1,False.
MO,179,510,355-2464,no,no,-1,287.5,123,48.8,287.2,,24.6,266.1,112,11.3,10,4,2.3,0,True.
MO,152,408,404-4611,no,no,-1,101.5,122,,,88,12.4,198.7,123,,7,3,1.9,2,False.
WY,105,415,373-2339,,no,-1,103,74,17.6,280.7,126,24.1,228.1,112,9.7,12.7,6,3.3,2,False.
